"onset","onset_low","onset_high","year","offset","offset_low","offset_high","duration","scientificName","Order","lon","lat","OS","prec","temp","bio4","bio15","pop"
153.25,149,154.1,2019,192.15,181.95,210,38.9,"Chauliognathus marginatus","Coleoptera",696923.310682897,-25719.2431067843,"Coleoptera:Chauliognathus marginatus",1465.98647705078,17.745788230896,1044.27303833008,0.381944820582867,32.9347546071595
143.1,142,144.55,2019,169.25,163.45,172,26.15,"Chauliognathus marginatus","Coleoptera",1521923.3106829,-719.243106784299,"Coleoptera:Chauliognathus marginatus",1156.55437677557,20.1936217991993,937.234724564986,0.418908781174457,267.439695779909
146,145,147,2019,175,159,177,29,"Chauliognathus marginatus","Coleoptera",1521923.3106829,24280.7568932157,"Coleoptera:Chauliognathus marginatus",1254.47245361328,18.7355476951599,987.247207641602,0.444415647685528,506.914647625041
133,128,138,2019,168.5,159.5,170,35.5,"Chauliognathus marginatus","Coleoptera",1546923.3106829,24280.7568932157,"Coleoptera:Chauliognathus marginatus",1254.47245361328,18.7355476951599,987.247207641602,0.444415647685528,506.914647625041
233.5,233,235,2018,278.5,266,279,45,"Chauliognathus pensylvanicus","Coleoptera",921923.310682897,-50719.2431067843,"Coleoptera:Chauliognathus pensylvanicus",1518.24228149414,17.8158626937866,1036.96318847656,0.417527974843979,188.132133997732
226.95,225,228.25,2019,251.55,244,260,24.6,"Chauliognathus pensylvanicus","Coleoptera",646923.310682897,249280.756893216,"Coleoptera:Chauliognathus pensylvanicus",1364.40113427173,14.2918874477518,1127.80250145923,0.584553830239965,1138.53975667782
228.7,226,232,2017,269.65,256.1,271,40.95,"Chauliognathus pensylvanicus","Coleoptera",921923.310682897,349280.756893216,"Coleoptera:Chauliognathus pensylvanicus",989.562290649414,15.1722564315796,1036.69757080078,0.513307105004787,137.239828664663
218.5,217,220,2019,254,237.5,256,35.5,"Chauliognathus pensylvanicus","Coleoptera",921923.310682897,349280.756893216,"Coleoptera:Chauliognathus pensylvanicus",1085.29800415039,13.9561773014069,1097.72565917969,0.398573208451271,137.239828664663
216.7,216,220.5,2019,253.1,245.4,258,36.4,"Chauliognathus pensylvanicus","Coleoptera",496923.310682897,374280.756893216,"Coleoptera:Chauliognathus pensylvanicus",1266.02431030273,12.9190783596039,1175.97706665039,0.513527643978596,103.455528979238
219.1,218,220.55,2019,248.75,234.45,257,29.65,"Chauliognathus pensylvanicus","Coleoptera",196923.310682897,599280.756893216,"Coleoptera:Chauliognathus pensylvanicus",1169.22239990234,10.9963554859161,1285.56587158203,0.573447212874889,296.707326636996
209.85,204,217,2019,257.55,237.7,258,47.7,"Chauliognathus pensylvanicus","Coleoptera",221923.310682897,599280.756893216,"Coleoptera:Chauliognathus pensylvanicus",1169.22239990234,10.9963554859161,1285.56587158203,0.573447212874889,296.707326636996
111.8,110,115.4,2018,307.8,238,336,196,"Cicindela repanda","Coleoptera",1146923.3106829,299280.756893216,"Coleoptera:Cicindela repanda",1274.79661535838,15.1342648400201,1072.20498511905,0.288753076441704,517.63027198936
